C0/date,C0/min,C0/max,C0/mean,C0/stDev,C0/sampleCount,C0/noDataCount,C0/median,C0/p10,C0/p90,C0/cloudCoveragePercent
2018-09-28T00:00:00.000Z,-0.7552581429481506,0.6326530575752258,0.2886487917497739,0.15197095776306702,1558,476,0.3077404499053955,0.17767338454723358,0.42997416853904724,0
2018-10-03T00:00:00.000Z,-0.8133102655410767,0.6885079741477966,0.27013983155317517,0.16830104185769396,1558,476,0.2953890562057495,0.10761155188083649,0.4317248463630676,22.181146025878
2018-10-08T00:00:00.000Z,-1,0.6122661232948303,0.2675933230598585,0.15560563265319502,1558,476,0.2883758544921875,0.15355470776557922,0.41336971521377563,1.5711645101663552
2018-10-13T00:00:00.000Z,-0.7905945181846619,0.6640502214431763,0.289856990903135,0.14450515498250674,1558,476,0.30676284432411194,0.17095626890659332,0.4376956820487976,0
2018-10-18T00:00:00.000Z,-0.7713771462440491,0.6863999962806702,0.2724847837135318,0.1439525514165865,1558,476,0.2902298867702484,0.15621840953826904,0.4142761826515198,0.27726432532347495
2018-10-23T00:00:00.000Z,-0.782608687877655,0.7663782238960266,0.21953254384690152,0.17951065921186843,1558,476,0.25428882241249084,-0.012198581360280514,0.39195775985717773,18.022181146025922
2018-10-28T00:00:00.000Z,-0.6493633985519409,0.7939011454582214,0.22628615263035215,0.18173217277614392,1558,476,0.25925925374031067,0.0015928639331832528,0.3987730145454407,9.796672828096112
2018-11-02T00:00:00.000Z,-0.1729394942522049,0.45757225155830383,0.15727182595010225,0.07487042057449951,1558,476,0.15257595479488373,0.06902805715799332,0.24744898080825806,100
2018-11-07T00:00:00.000Z,-0.34188616275787354,0.6618460416793823,0.16653833112803612,0.13738871127333702,1558,476,0.19298996031284332,-0.032504238188266754,0.31015753746032715,99.90757855822557
2018-11-12T00:00:00.000Z,-0.3551219403743744,0.6252233982086182,0.14236479301383573,0.12833751303386443,1558,476,0.15770423412322998,-0.02004110999405384,0.2928660809993744,100
2018-11-17T00:00:00.000Z,-0.7305227518081665,0.7811402082443237,0.14967243344723244,0.21724432252838485,1558,476,0.16875435411930084,-0.11826977878808975,0.4007168412208557,46.67282809611829
2018-11-22T00:00:00.000Z,-0.8534899950027466,0.7858606576919556,0.3645854216652569,0.18565007332287642,1558,476,0.39327338337898254,0.18674567341804504,0.5403445363044739,0.6469500924214432
2018-11-27T00:00:00.000Z,-0.7663108110427856,1,0.11389150714999693,0.23847030580766415,1558,476,0.06757523864507675,-0.1387537121772766,0.4332161545753479,70.14787430683917
2018-12-02T00:00:00.000Z,-0.7754490971565247,0.6163041591644287,0.18061400476590067,0.12034192365929769,1558,476,0.1577557772397995,0.0729093849658966,0.3412683606147766,95.56377079482444
2018-12-07T00:00:00.000Z,-1,1,0.32270275070580606,0.24728774040431103,1558,476,0.37778550386428833,-0.00023386342218145728,0.5788737535476685,52.587800369685766
2018-12-12T00:00:00.000Z,-0.5274593234062195,1,0.08718437834331969,0.17379186788298057,1558,476,0.03353867307305336,-0.08464650064706802,0.35166627168655396,99.63031423290207
2018-12-17T00:00:00.000Z,-0.10201205313205719,0.32917067408561707,0.09729415665890322,0.055177097360487724,1558,476,0.09433028101921082,0.03176374360918999,0.16593599319458008,100
2018-12-27T00:00:00.000Z,-0.7035881280899048,0.8018234372138977,0.3771701598313572,0.17249434897329827,1558,476,0.3890950679779053,0.1705869883298874,0.5828834176063538,100
2019-01-01T00:00:00.000Z,-0.016928158700466156,0.5342673063278198,0.22665216158630008,0.11294849361525143,1558,476,0.24845679104328156,0.054171785712242126,0.3563884198665619,100
2019-01-06T00:00:00.000Z,-1,1,0.21799530176543871,0.3064483574401456,1558,476,0.14630021154880524,-0.10716709494590759,0.6794952750205994,66.54343807763408
2019-01-11T00:00:00.000Z,-0.6976279020309448,1,0.2990166051648434,0.3483120998695082,1558,476,0.2867351472377777,-0.11810284107923508,0.7415760159492493,50.646950092421406
